1738368000000000,3.03610000,3.07270000,2.82810000,2.87780000,173601404.00000000,1738454399999999,514185531.78840000,1758090,82484050.00000000,244481022.31460000,0
1738454400000000,2.87790000,2.95590000,2.46030000,2.58000000,684089012.00000000,1738540799999999,1833042745.56230000,6446056,330505088.00000000,885006286.25560000,0
1738540800000000,2.58010000,2.78140000,1.77110000,2.70010000,1866758972.00000000,1738627199999999,4362783819.68070000,11491884,916458838.00000000,2144743382.05340000,0
1738627200000000,2.70000000,2.78740000,2.42090000,2.52740000,621552965.00000000,1738713599999999,1611405680.33000000,4335952,303205590.00000000,786033247.07970000,0
1738713600000000,2.52750000,2.56920000,2.33840000,2.38100000,338815093.00000000,1738799999999999,835666325.00930000,2444787,164564007.00000000,406097698.17540000,0
1738800000000000,2.38100000,2.46990000,2.27720000,2.32500000,322896937.00000000,1738886399999999,765674914.45370000,2493240,158040941.00000000,374879168.77510000,0
1738886400000000,2.32510000,2.54200000,2.26550000,2.39680000,447487945.00000000,1738972799999999,1081213105.86380000,3109058,220189588.00000000,532341867.10870000,0
1738972800000000,2.39690000,2.43720000,2.35060000,2.41900000,154717204.00000000,1739059199999999,371554857.02730000,1258770,77226989.00000000,185503788.46670000,0
1739059200000000,2.41900000,2.50790000,2.31130000,2.39280000,204205603.00000000,1739145599999999,493229868.40240000,1407359,100298440.00000000,242504200.83480000,0
1739145600000000,2.39280000,2.47330000,2.32350000,2.42370000,207257933.00000000,1739231999999999,498991376.07990000,1753923,104617691.00000000,251850787.35360000,0
1739232000000000,2.42380000,2.52900000,2.37080000,2.41310000,248182176.00000000,1739318399999999,610136390.05080000,2008342,125001533.00000000,307404726.53710000,0
1739318400000000,2.41300000,2.49620000,2.33230000,2.47340000,227957636.00000000,1739404799999999,549253249.79230000,1892950,114506144.00000000,275874355.89420000,0
1739404800000000,2.47340000,2.60610000,2.41540000,2.55990000,212478703.00000000,1739491199999999,527319051.38150000,1847589,105873934.00000000,262862917.05830000,0
1739491200000000,2.56000000,2.83560000,2.53000000,2.73840000,407541122.00000000,1739577599999999,1099747748.52970000,3930531,207147002.00000000,558746250.59400000,0
1739577600000000,2.73840000,2.83350000,2.71300000,2.76190000,184181907.00000000,1739663999999999,512007575.23760000,1962398,91568097.00000000,254510769.23750000,0
1739664000000000,2.76190000,2.80540000,2.68790000,2.72830000,132387997.00000000,1739750399999999,364119985.91860000,1355421,61790121.00000000,170050945.43240000,0
1739750400000000,2.72830000,2.76480000,2.60750000,2.65990000,212813356.00000000,1739836799999999,569177522.79380000,1923364,102496486.00000000,274292247.24830000,0
1739836800000000,2.65990000,2.66990000,2.46930000,2.56280000,227170019.00000000,1739923199999999,582472946.24620000,2271670,110114306.00000000,282463541.32880000,0
1739923200000000,2.56290000,2.74700000,2.51210000,2.73780000,208222691.00000000,1740009599999999,545032758.81830000,1780798,106116991.00000000,277755837.44830000,0
1740009600000000,2.73780000,2.74900000,2.66710000,2.68770000,161213675.00000000,1740095999999999,435621246.15410000,1348665,81112172.00000000,219177503.60630000,0
1740096000000000,2.68780000,2.71600000,2.50760000,2.57210000,257754207.00000000,1740182399999999,674793413.92330000,2010767,125454025.00000000,328549097.75420000,0
1740182400000000,2.57220000,2.60990000,2.55050000,2.57400000,92516652.00000000,1740268799999999,238844803.00070000,650453,42928150.00000000,110869708.06150000,0
1740268800000000,2.57400000,2.60160000,2.52010000,2.57630000,91398009.00000000,1740355199999999,234022514.10270000,703256,43695131.00000000,111904151.47480000,0
1740355200000000,2.57630000,2.60900000,2.23360000,2.27830000,351034781.00000000,1740441599999999,849040644.80150000,2517960,165921057.00000000,401686487.94230000,0
1740441600000000,2.27840000,2.36630000,2.06370000,2.32220000,762421577.00000000,1740527999999999,1687911041.62060000,5941964,379352257.00000000,840317371.00390000,0
1740528000000000,2.32220000,2.33140000,2.15070000,2.19820000,364125565.00000000,1740614399999999,817894826.17180000,2839319,173221927.00000000,388990998.64990000,0
1740614400000000,2.19830000,2.25770000,2.14530000,2.19850000,229741926.00000000,1740700799999999,505961815.84160000,1932381,115390979.00000000,254213325.93980000,0
1740700800000000,2.19850000,2.20170000,1.95100000,2.14530000,463166339.00000000,1740787199999999,957869589.58010000,3661569,226338375.00000000,467851252.92300000,0
