open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source_filename,open_lag_1,close_lag_1,high_lag_1,low_lag_1,volumne_lag_1,volumne_lag_3,candle_size,body_size,upper_shadow,lower_shadow,buy_volume_ratio,avg_trade_size,ma_7,ma_21,std_14,hl_spread,hl_spread_change,pct_change,log_return,momentum_3,momentum_7,day_of_week,is_weekend,month,rsi,macd,signal_line,volume_zscore,volume_spike,rsi_buy,rsi_sell,macd_bullish,macd_bearish,future_return_1d,price_direction
2023-01-21,0.4129,0.4166,0.3967,0.4034,346602583.0,2023-01-21 23:59:59.999000,141823531.5831,198254,165478405.0,67719633.2972,XRPUSDT-1d-2023-01.csv,0.3929,0.4129,0.4141,0.3859,366316527.0,615064764.0,0.01990000000000003,0.009500000000000008,0.0037000000000000366,0.006699999999999984,0.4774298089982786,1748.275358883049,0.39201428571428565,0.3677095238095238,0.020135220086010704,0.01990000000000003,0.7056737588652492,-0.023007992249939435,-0.023276807371933134,0.0252,0.008099999999999996,5,1,1,75.29914529914531,0.015392378663288797,0.011863958205428108,-0.6949277747511909,0,0,1,1,0,-0.007436787307882997,0
2023-01-22,0.4034,0.4122,0.3962,0.4004,250067543.0,2023-01-22 23:59:59.999000,101062837.4732,140303,120634816.0,48755338.5511,XRPUSDT-1d-2023-01.csv,0.4129,0.4034,0.4166,0.3967,346602583.0,416112670.0,0.016000000000000014,0.0030000000000000027,0.00880000000000003,0.0041999999999999815,0.48240893061439805,1782.3392443497287,0.39428571428571424,0.37064761904761906,0.018136583452807775,0.016000000000000014,0.8040201005025122,-0.007436787307882997,-0.0074645780790458804,0.007599999999999996,0.01589999999999997,6,1,1,73.19327731092437,0.015462560219693389,0.012583678608281164,-1.569176286563599,0,0,1,1,0,0.05744255744255744,1
2023-01-23,0.4004,0.433,0.3995,0.4234,723894773.0,2023-01-23 23:59:59.999000,304618525.3061,337146,336521405.0,141588487.1564,XRPUSDT-1d-2023-01.csv,0.4034,0.4004,0.4122,0.3962,250067543.0,366316527.0,0.033499999999999974,0.02300000000000002,0.009599999999999997,0.0008999999999999564,0.4648761360789657,2147.125497558921,0.3997,0.37422857142857147,0.018062049644562473,0.033499999999999974,2.0937499999999964,0.05744255744255744,0.05585331125969926,0.01050000000000001,0.03789999999999999,0,0,1,76.91751085383503,0.017176092091865713,0.013502161304998074,1.8744326335523798,0,0,1,1,0,-0.03684459140292873,0
2023-01-24,0.4233,0.4312,0.4025,0.4078,411297898.0,2023-01-24 23:59:59.999000,172683239.9344,223346,192361934.0,80790644.3698,XRPUSDT-1d-2023-01.csv,0.4004,0.4234,0.433,0.3995,723894773.0,346602583.0,0.028700000000000003,0.015500000000000014,0.007900000000000018,0.005299999999999971,0.4676949114872452,1841.5279342365657,0.4027,0.3772857142857143,0.014894884437872792,0.028700000000000003,0.8567164179104485,-0.03684459140292873,-0.037540500560410035,0.004400000000000015,0.02100000000000002,1,0,1,68.77054569362261,0.017078419432264347,0.01421741293045133,-0.3614957045521942,0,0,0,1,0,0.022560078469838096,1
2023-01-25,0.4079,0.4245,0.3965,0.417,375065459.0,2023-01-25 23:59:59.999000,153118088.976,188870,186827318.0,76244377.7797,XRPUSDT-1d-2023-01.csv,0.4233,0.4078,0.4312,0.4025,411297898.0,250067543.0,0.02799999999999997,0.009099999999999997,0.007500000000000007,0.011399999999999966,0.49811923096869337,1985.8392492190396,0.40824285714285713,0.3806095238095238,0.014929085116563087,0.02799999999999997,0.9756097560975598,0.022560078469838096,0.022309363658446588,0.016600000000000004,0.0388,2,0,1,65.87643678160919,0.017541172540186223,0.01488216485239831,-0.5181512744462917,0,0,0,1,0,-0.018705035971222972,0
2023-01-26,0.417,0.4178,0.4053,0.4092,290069659.0,2023-01-26 23:59:59.999000,119450988.2924,151650,143837698.0,59220498.8163,XRPUSDT-1d-2023-01.csv,0.4079,0.417,0.4245,0.3965,375065459.0,723894773.0,0.012500000000000011,0.007799999999999974,0.0008000000000000229,0.0039000000000000146,0.4958729516760662,1912.7573953181668,0.4105857142857143,0.384,0.013909258518248771,0.012500000000000011,0.44642857142857234,-0.018705035971222972,-0.01888218772132998,-0.01419999999999999,0.016400000000000026,3,0,1,61.86206896551724,0.017081606769581592,0.015322053235834967,-1.007564955233068,0,0,0,1,0,0.008797653958944274,1
2023-01-27,0.4091,0.4135,0.3988,0.4128,274281738.0,2023-01-27 23:59:59.999000,111625093.023,133853,136378774.0,55507502.5641,XRPUSDT-1d-2023-01.csv,0.417,0.4092,0.4178,0.4053,290069659.0,411297898.0,0.01469999999999999,0.003699999999999981,0.0006999999999999784,0.010300000000000031,0.4972214883660975,2049.1265642159683,0.41057142857142853,0.38726190476190475,0.013841901666976446,0.01469999999999999,1.1759999999999982,0.008797653958944274,0.008759180089881554,0.0050000000000000044,-9.999999999998899e-05,4,0,1,59.81104651162792,0.016814065419169633,0.015620455672501901,-1.0101558980086223,0,0,0,1,0,-0.012112403100775215,0
2023-01-28,0.4127,0.4168,0.4055,0.4078,148949278.0,2023-01-28 23:59:59.999000,61120997.8106,83036,70856591.0,29083649.2834,XRPUSDT-1d-2023-01.csv,0.4091,0.4128,0.4135,0.3988,274281738.0,375065459.0,0.011299999999999977,0.0049000000000000155,0.0040999999999999925,0.0022999999999999687,0.4757095297904029,1793.791584373043,0.4112,0.3902904761904762,0.013868917338129597,0.011299999999999977,0.7687074829931961,-0.012112403100775215,-0.012186356026998198,-0.009199999999999986,0.004400000000000015,5,1,1,54.69571750563487,0.016013979570052905,0.0156991604520121,-1.5751470711654505,0,0,0,1,0,0.013732221677292822,1
2023-01-29,0.4078,0.4173,0.4066,0.4134,166884667.0,2023-01-29 23:59:59.999000,68802706.7642,95305,79235849.0,32669617.3421,XRPUSDT-1d-2023-01.csv,0.4127,0.4078,0.4168,0.4055,148949278.0,290069659.0,0.010699999999999987,0.005599999999999994,0.0039000000000000146,0.0011999999999999789,0.47479406241677075,1751.058884633545,0.41305714285714284,0.3935380952380952,0.013264378472576093,0.010699999999999987,0.9469026548672574,0.013732221677292822,0.013638789107313117,0.0041999999999999815,0.013000000000000012,6,1,1,61.29788897576231,0.015651359835616108,0.015689600328732903,-1.3143516166978637,0,0,0,0,1,-0.04837929366231242,0
2023-01-30,0.4135,0.4222,0.386,0.3934,433795926.0,2023-01-30 23:59:59.999000,174875593.0656,205691,213480378.0,86141832.6055,XRPUSDT-1d-2023-01.csv,0.4078,0.4134,0.4173,0.4066,166884667.0,274281738.0,0.03620000000000001,0.02009999999999995,0.008700000000000041,0.007400000000000018,0.4921216756655294,2108.968919398515,0.4087714285714285,0.395652380952381,0.012582381280239545,0.03620000000000001,3.383177570093463,-0.04837929366231242,-0.04958874129270907,-0.019399999999999973,-0.02999999999999997,0,0,1,52.68890401633765,0.013593451384583122,0.015270370539902947,0.40292239490679704,0,0,0,0,1,0.03126588713777312,1
