open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source_filename,open_lag_1,close_lag_1,high_lag_1,low_lag_1,volumne_lag_1,volumne_lag_3,candle_size,body_size,upper_shadow,lower_shadow,buy_volume_ratio,avg_trade_size,ma_7,ma_21,std_14,hl_spread,hl_spread_change,pct_change,log_return,momentum_3,momentum_7,day_of_week,is_weekend,month,rsi,macd,signal_line,volume_zscore,volume_spike,rsi_buy,rsi_sell,macd_bullish,macd_bearish,future_return_1d,price_direction,future_return_3d,price_direction_3d,model_prediction_3d,prediction_prob,high_confidence,confidence_bin,match,prediction_hit,rolling_accuracy
2023-01-21,0.4129,0.4166,0.3967,0.4034,346602583.0,2023-01-21 23:59:59.999000,141823531.5831,198254,165478405.0,67719633.2972,XRPUSDT-1d-2023-01.csv,0.3929,0.4129,0.4141,0.3859,366316527.0,615064764.0,0.0199,0.0095,0.0037,0.0066999999999999,0.4774298089982786,1748.275358883049,0.3920142857142856,0.3677095238095238,0.0201352200860107,0.0199,0.7056737588652492,-0.0230079922499394,-0.0232768073719331,0.0252,0.0080999999999999,5,1,1,75.29914529914531,0.0153923786632887,0.0118639582054281,-0.6949277747511909,0,0,1,1,0,-0.0074367873078829,0,0.010907288051561714,1,,,0,,False,False,
2023-01-22,0.4034,0.4122,0.3962,0.4004,250067543.0,2023-01-22 23:59:59.999000,101062837.4732,140303,120634816.0,48755338.5511,XRPUSDT-1d-2023-01.csv,0.4129,0.4034,0.4166,0.3967,346602583.0,416112670.0,0.016,0.003,0.0088,0.0041999999999999,0.482408930614398,1782.3392443497287,0.3942857142857142,0.370647619047619,0.0181365834528077,0.016,0.8040201005025122,-0.0074367873078829,-0.0074645780790458,0.0075999999999999,0.0158999999999999,6,1,1,73.19327731092437,0.0154625602196933,0.0125836786082811,-1.569176286563599,0,0,1,1,0,0.0574425574425574,1,0.041458541458541553,1,,,0,,False,False,
2023-01-23,0.4004,0.433,0.3995,0.4234,723894773.0,2023-01-23 23:59:59.999000,304618525.3061,337146,336521405.0,141588487.1564,XRPUSDT-1d-2023-01.csv,0.4034,0.4004,0.4122,0.3962,250067543.0,366316527.0,0.0334999999999999,0.023,0.0095999999999999,0.0008999999999999,0.4648761360789657,2147.125497558921,0.3997,0.3742285714285714,0.0180620496445624,0.0334999999999999,2.0937499999999964,0.0574425574425574,0.0558533112596992,0.0105,0.0378999999999999,0,0,1,76.91751085383503,0.0171760920918657,0.013502161304998,1.87443263355238,0,0,1,1,0,-0.0368445914029287,0,-0.033538025507794056,0,,,0,,False,False,
2023-01-24,0.4233,0.4312,0.4025,0.4078,411297898.0,2023-01-24 23:59:59.999000,172683239.9344,223346,192361934.0,80790644.3698,XRPUSDT-1d-2023-01.csv,0.4004,0.4234,0.433,0.3995,723894773.0,346602583.0,0.0287,0.0155,0.0079,0.0052999999999999,0.4676949114872452,1841.5279342365657,0.4027,0.3772857142857143,0.0148948844378727,0.0287,0.8567164179104485,-0.0368445914029287,-0.03754050056041,0.0044,0.021,1,0,1,68.77054569362261,0.0170784194322643,0.0142174129304513,-0.3614957045521942,0,0,0,1,0,0.022560078469838,1,0.012260912211868646,1,,,0,,False,False,
2023-01-25,0.4079,0.4245,0.3965,0.417,375065459.0,2023-01-25 23:59:59.999000,153118088.976,188870,186827318.0,76244377.7797,XRPUSDT-1d-2023-01.csv,0.4233,0.4078,0.4312,0.4025,411297898.0,250067543.0,0.0279999999999999,0.0090999999999999,0.0075,0.0113999999999999,0.4981192309686933,1985.83924921904,0.4082428571428571,0.3806095238095238,0.014929085116563,0.0279999999999999,0.9756097560975598,0.022560078469838,0.0223093636584465,0.0166,0.0388,2,0,1,65.87643678160919,0.0175411725401862,0.0148821648523983,-0.5181512744462917,0,0,0,1,0,-0.0187050359712229,0,-0.022062350119904095,0,,,0,,False,False,
2023-01-26,0.417,0.4178,0.4053,0.4092,290069659.0,2023-01-26 23:59:59.999000,119450988.2924,151650,143837698.0,59220498.8163,XRPUSDT-1d-2023-01.csv,0.4079,0.417,0.4245,0.3965,375065459.0,723894773.0,0.0125,0.0077999999999999,0.0008,0.0039,0.4958729516760662,1912.7573953181668,0.4105857142857143,0.384,0.0139092585182487,0.0125,0.4464285714285723,-0.0187050359712229,-0.0188821877213299,-0.0141999999999999,0.0164,3,0,1,61.86206896551724,0.0170816067695815,0.0153220532358349,-1.007564955233068,0,0,0,1,0,0.0087976539589442,1,0.01026392961876832,1,,,0,,False,False,
2023-01-27,0.4091,0.4135,0.3988,0.4128,274281738.0,2023-01-27 23:59:59.999000,111625093.023,133853,136378774.0,55507502.5641,XRPUSDT-1d-2023-01.csv,0.417,0.4092,0.4178,0.4053,290069659.0,411297898.0,0.0146999999999999,0.0036999999999999,0.0006999999999999,0.0103,0.4972214883660975,2049.1265642159683,0.4105714285714285,0.3872619047619047,0.0138419016669764,0.0146999999999999,1.1759999999999982,0.0087976539589442,0.0087591800898815,0.005,-9.9999999999989e-05,4,0,1,59.81104651162792,0.0168140654191696,0.0156204556725019,-1.0101558980086225,0,0,0,1,0,-0.0121124031007752,0,-0.046996124031007724,0,,,0,,False,False,
2023-01-28,0.4127,0.4168,0.4055,0.4078,148949278.0,2023-01-28 23:59:59.999000,61120997.8106,83036,70856591.0,29083649.2834,XRPUSDT-1d-2023-01.csv,0.4091,0.4128,0.4135,0.3988,274281738.0,375065459.0,0.0112999999999999,0.0049,0.0040999999999999,0.0022999999999999,0.4757095297904029,1793.791584373043,0.4112,0.3902904761904762,0.0138689173381295,0.0112999999999999,0.7687074829931961,-0.0121124031007752,-0.0121863560269981,-0.0091999999999999,0.0044,5,1,1,54.69571750563487,0.0160139795700529,0.0156991604520121,-1.5751470711654505,0,0,0,1,0,0.0137322216772928,1,-0.005149583128984725,0,,,0,,False,False,
2023-01-29,0.4078,0.4173,0.4066,0.4134,166884667.0,2023-01-29 23:59:59.999000,68802706.7642,95305,79235849.0,32669617.3421,XRPUSDT-1d-2023-01.csv,0.4127,0.4078,0.4168,0.4055,148949278.0,290069659.0,0.0106999999999999,0.0055999999999999,0.0039,0.0011999999999999,0.4747940624167707,1751.058884633545,0.4130571428571428,0.3935380952380952,0.013264378472576,0.0106999999999999,0.9469026548672574,0.0137322216772928,0.0136387891073131,0.0041999999999999,0.013,6,1,1,61.29788897576231,0.0156513598356161,0.0156896003287329,-1.3143516166978635,0,0,0,0,1,-0.0483792936623124,0,-0.0007256894049345597,0,,,0,,False,False,
2023-01-30,0.4135,0.4222,0.386,0.3934,433795926.0,2023-01-30 23:59:59.999000,174875593.0656,205691,213480378.0,86141832.6055,XRPUSDT-1d-2023-01.csv,0.4078,0.4134,0.4173,0.4066,166884667.0,274281738.0,0.0362,0.0200999999999999,0.0087,0.0074,0.4921216756655294,2108.968919398515,0.4087714285714285,0.395652380952381,0.0125823812802395,0.0362,3.383177570093463,-0.0483792936623124,-0.049588741292709,-0.0193999999999999,-0.0299999999999999,0,0,1,52.68890401633765,0.0135934513845831,0.0152703705399029,0.402922394906797,0,0,0,0,1,0.0312658871377731,1,0.04168784951703097,1,,,0,,False,False,
