Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore,Source Filename
1672531200000,0.3389,0.34,0.3354,0.3387,102026821.0,1672617599999,34471638.5714,48661,53592277.0,18107900.6475,0,XRPUSDT-1d-2023-01.csv
1672617600000,0.3386,0.3555,0.3,0.3482,647520487.0,1672703999999,217803999.7446,285660,320823575.0,108056946.6236,0,XRPUSDT-1d-2023-01.csv
1672704000000,0.3482,0.352,0.3395,0.3436,346410334.0,1672790399999,119511328.6711,154113,172318472.0,59448460.9027,0,XRPUSDT-1d-2023-01.csv
1672790400000,0.3436,0.3605,0.339,0.3472,372672796.0,1672876799999,129585304.7284,147677,193027855.0,67139279.1042,0,XRPUSDT-1d-2023-01.csv
1672876800000,0.3471,0.3487,0.3333,0.338,265529668.0,1672963199999,90735849.1365,106910,129294274.0,44187813.6661,0,XRPUSDT-1d-2023-01.csv
1672963200000,0.338,0.3462,0.3311,0.3443,278304929.0,1673049599999,93853937.033,124811,141179233.0,47616379.1864,0,XRPUSDT-1d-2023-01.csv
1673049600000,0.3442,0.3457,0.3413,0.3442,103851424.0,1673135999999,35685499.4695,54864,50831317.0,17471422.5729,0,XRPUSDT-1d-2023-01.csv
1673136000000,0.3442,0.3469,0.3354,0.3452,185516324.0,1673222399999,63235820.0018,87967,92948507.0,31689407.3897,0,XRPUSDT-1d-2023-01.csv
1673222400000,0.3452,0.3576,0.3437,0.349,527746615.0,1673308799999,185161444.2836,207757,254824357.0,89419804.3749,0,XRPUSDT-1d-2023-01.csv
1673308800000,0.3489,0.3541,0.3432,0.3507,338577860.0,1673395199999,118256165.1944,126247,173055172.0,60442037.7148,0,XRPUSDT-1d-2023-01.csv
1673395200000,0.3506,0.3785,0.3477,0.3728,626037461.0,1673481599999,228637315.3745,264481,316060030.0,115363462.2207,0,XRPUSDT-1d-2023-01.csv
1673481600000,0.3728,0.382,0.3607,0.3748,505754231.0,1673567999999,188241999.7211,229155,249878743.0,93006864.7471,0,XRPUSDT-1d-2023-01.csv
1673568000000,0.3748,0.3868,0.368,0.3858,405120914.0,1673654399999,152479844.0566,180943,201571197.0,75872846.4057,0,XRPUSDT-1d-2023-01.csv
1673654400000,0.3857,0.4089,0.3766,0.3953,582781070.0,1673740799999,230545836.1881,298604,287515587.0,113750224.0849,0,XRPUSDT-1d-2023-01.csv
1673740800000,0.3953,0.3969,0.3795,0.3845,294014260.0,1673827199999,113574492.6617,149500,140444062.0,54247747.6838,0,XRPUSDT-1d-2023-01.csv
1673827200000,0.3846,0.4064,0.3777,0.3855,542041099.0,1673913599999,211557382.1895,244213,259538816.0,101299609.1732,0,XRPUSDT-1d-2023-01.csv
1673913600000,0.3855,0.3987,0.379,0.3868,378212343.0,1673999999999,146669509.5433,175149,183711027.0,71232383.4436,0,XRPUSDT-1d-2023-01.csv
1674000000000,0.3868,0.3964,0.3655,0.3782,615064764.0,1674086399999,236217050.68,297896,294249478.0,113039586.9665,0,XRPUSDT-1d-2023-01.csv
1674086400000,0.3782,0.3965,0.3762,0.3928,416112670.0,1674172799999,161047075.7657,194843,204941131.0,79300131.8557,0,XRPUSDT-1d-2023-01.csv
1674172800000,0.3929,0.4141,0.3859,0.4129,366316527.0,1674259199999,145683006.8193,191888,188711387.0,74980784.293,0,XRPUSDT-1d-2023-01.csv
1674259200000,0.4129,0.4166,0.3967,0.4034,346602583.0,1674345599999,141823531.5831,198254,165478405.0,67719633.2972,0,XRPUSDT-1d-2023-01.csv
1674345600000,0.4034,0.4122,0.3962,0.4004,250067543.0,1674431999999,101062837.4732,140303,120634816.0,48755338.5511,0,XRPUSDT-1d-2023-01.csv
1674432000000,0.4004,0.433,0.3995,0.4234,723894773.0,1674518399999,304618525.3061,337146,336521405.0,141588487.1564,0,XRPUSDT-1d-2023-01.csv
1674518400000,0.4233,0.4312,0.4025,0.4078,411297898.0,1674604799999,172683239.9344,223346,192361934.0,80790644.3698,0,XRPUSDT-1d-2023-01.csv
1674604800000,0.4079,0.4245,0.3965,0.417,375065459.0,1674691199999,153118088.976,188870,186827318.0,76244377.7797,0,XRPUSDT-1d-2023-01.csv
1674691200000,0.417,0.4178,0.4053,0.4092,290069659.0,1674777599999,119450988.2924,151650,143837698.0,59220498.8163,0,XRPUSDT-1d-2023-01.csv
1674777600000,0.4091,0.4135,0.3988,0.4128,274281738.0,1674863999999,111625093.023,133853,136378774.0,55507502.5641,0,XRPUSDT-1d-2023-01.csv
1674864000000,0.4127,0.4168,0.4055,0.4078,148949278.0,1674950399999,61120997.8106,83036,70856591.0,29083649.2834,0,XRPUSDT-1d-2023-01.csv
1674950400000,0.4078,0.4173,0.4066,0.4134,166884667.0,1675036799999,68802706.7642,95305,79235849.0,32669617.3421,0,XRPUSDT-1d-2023-01.csv
1675036800000,0.4135,0.4222,0.386,0.3934,433795926.0,1675123199999,174875593.0656,205691,213480378.0,86141832.6055,0,XRPUSDT-1d-2023-01.csv
1675123200000,0.3933,0.4113,0.388,0.4057,346580963.0,1675209599999,138238341.7796,166935,174978218.0,69716355.9451,0,XRPUSDT-1d-2023-01.csv
1675209600000,0.4058,0.4157,0.3962,0.4131,379103907.0,1675295999999,153259801.5671,186726,184988147.0,74752103.681,0,XRPUSDT-1d-2023-02.csv
1675296000000,0.4132,0.4192,0.408,0.4098,322532370.0,1675382399999,133341656.2179,165464,163472668.0,67587785.7721,0,XRPUSDT-1d-2023-02.csv
1675382400000,0.4097,0.4137,0.4054,0.4117,274689680.0,1675468799999,112603154.4869,133447,141671977.0,58080968.9055,0,XRPUSDT-1d-2023-02.csv
1675468800000,0.4116,0.4204,0.4075,0.4106,178134111.0,1675555199999,73370958.019,95986,83662124.0,34471548.4624,0,XRPUSDT-1d-2023-02.csv
1675555200000,0.4106,0.412,0.3942,0.3984,237111362.0,1675641599999,95563098.0889,134236,112747647.0,45453079.203,0,XRPUSDT-1d-2023-02.csv
1675641600000,0.3985,0.4037,0.3909,0.392,315995053.0,1675727999999,125897156.2863,145740,159859675.0,63699592.1238,0,XRPUSDT-1d-2023-02.csv
1675728000000,0.3921,0.4048,0.3901,0.4036,356160688.0,1675814399999,141141108.6065,145406,183248723.0,72607710.1102,0,XRPUSDT-1d-2023-02.csv
1675814400000,0.4037,0.406,0.3936,0.3975,263188839.0,1675900799999,105265066.8744,104320,123235097.0,49287325.6565,0,XRPUSDT-1d-2023-02.csv
1675900800000,0.3975,0.4092,0.3726,0.3819,526681339.0,1675987199999,206981490.6035,255958,250575924.0,98553873.5392,0,XRPUSDT-1d-2023-02.csv
1675987200000,0.3818,0.3878,0.3771,0.3817,279931749.0,1676073599999,107300522.3004,129469,139730701.0,53554602.2296,0,XRPUSDT-1d-2023-02.csv
1676073600000,0.3818,0.3841,0.3798,0.3833,123179600.0,1676159999999,47064308.7616,59338,54359454.0,20769517.1762,0,XRPUSDT-1d-2023-02.csv
1676160000000,0.3834,0.385,0.3716,0.3747,135976322.0,1676246399999,51727784.2532,70222,62447787.0,23753707.6288,0,XRPUSDT-1d-2023-02.csv
1676246400000,0.3747,0.3783,0.3612,0.3703,382768169.0,1676332799999,141477064.7839,158099,190350024.0,70362221.9661,0,XRPUSDT-1d-2023-02.csv
1676332800000,0.3703,0.3839,0.3644,0.3819,372274074.0,1676419199999,138499878.2798,160722,196180773.0,72994759.0715,0,XRPUSDT-1d-2023-02.csv
1676419200000,0.3819,0.4024,0.3765,0.4011,370966882.0,1676505599999,143859246.6086,150550,183280682.0,71037186.5248,0,XRPUSDT-1d-2023-02.csv
1676505600000,0.401,0.4048,0.384,0.3841,450636395.0,1676591999999,179200203.6661,193412,225043586.0,89555461.717,0,XRPUSDT-1d-2023-02.csv
1676592000000,0.3841,0.4,0.3809,0.395,358052399.0,1676678399999,139644124.6396,149639,187919337.0,73283588.7734,0,XRPUSDT-1d-2023-02.csv
1676678400000,0.3949,0.3976,0.3911,0.3943,145625421.0,1676764799999,57400872.4426,73236,69380555.0,27349230.4521,0,XRPUSDT-1d-2023-02.csv
1676764800000,0.3942,0.3981,0.3845,0.3863,237992952.0,1676851199999,93146713.9362,120434,116193819.0,45470936.4997,0,XRPUSDT-1d-2023-02.csv
1676851200000,0.3862,0.409,0.3774,0.3984,557018367.0,1676937599999,220336014.7363,224246,278894507.0,110244972.671,0,XRPUSDT-1d-2023-02.csv
1676937600000,0.3985,0.4025,0.3872,0.3919,448284088.0,1677023999999,176374645.4901,170551,225085280.0,88578978.1016,0,XRPUSDT-1d-2023-02.csv
1677024000000,0.392,0.3977,0.3828,0.3953,389277544.0,1677110399999,151813602.9011,161983,199048660.0,77597400.0916,0,XRPUSDT-1d-2023-02.csv
1677110400000,0.3953,0.3979,0.3853,0.3882,348351954.0,1677196799999,136524364.7895,151055,185760178.0,72805734.0508,0,XRPUSDT-1d-2023-02.csv
1677196800000,0.3883,0.3908,0.3723,0.3783,356652233.0,1677283199999,136442442.7247,157595,183601515.0,70283824.5592,0,XRPUSDT-1d-2023-02.csv
1677283200000,0.3783,0.3795,0.3692,0.3778,179723963.0,1677369599999,67647646.4228,84703,84230523.0,31703256.8337,0,XRPUSDT-1d-2023-02.csv
1677369600000,0.3779,0.3807,0.3745,0.3779,130843027.0,1677455999999,49371646.179,69576,62587386.0,23616970.2689,0,XRPUSDT-1d-2023-02.csv
1677456000000,0.3779,0.3801,0.3708,0.3785,421412885.0,1677542399999,158457633.8979,145975,225350589.0,84706976.9665,0,XRPUSDT-1d-2023-02.csv
